service,action,description,access_level,resource_types,condition_keys,dependent_actions,service_action_combined
account,CloseAccount,Grants permission to close an account,Write,account,,,account:CloseAccount
account,DeleteAlternateContact,Grants permission to delete the alternate contacts for an account,Write,account,,,account:DeleteAlternateContact
account,DisableRegion,Grants permission to disable use of a Region,Write,,account:TargetRegion,,account:DisableRegion
account,EnableRegion,Grants permission to enable use of a Region,Write,,account:TargetRegion,,account:EnableRegion
account,GetAccountInformation,Grants permission to retrieve the account information for an account,Read,account,,,account:GetAccountInformation
account,GetAlternateContact,Grants permission to retrieve the alternate contacts for an account,Read,account,,,account:GetAlternateContact
account,GetChallengeQuestions,Grants permission to retrieve the challenge questions for an account,Read,account,,,account:GetChallengeQuestions
account,GetContactInformation,Grants permission to retrieve the primary contact information for an account,Read,account,,,account:GetContactInformation
account,ListRegions,Grants permission to list the available Regions,List,,,,account:ListRegions
account,PutAlternateContact,Grants permission to modify the alternate contacts for an account,Write,account,,,account:PutAlternateContact
account,PutChallengeQuestions,Grants permission to modify the challenge questions for an account,Write,account,,,account:PutChallengeQuestions
account,PutContactInformation,Grants permission to update the primary contact information for an account,Write,account,,,account:PutContactInformation
activate,CreateForm,Grants permission to submit an Activate application form,Write,,,,activate:CreateForm
activate,GetAccountContact,Grants permission to get the AWS account contact information,Read,,,,activate:GetAccountContact
activate,GetContentInfo,Grants permission to get Activate tech posts and offer information,Read,,,,activate:GetContentInfo
activate,GetCosts,Grants permission to get the AWS cost information,Read,,,,activate:GetCosts
activate,GetCredits,Grants permission to get the AWS credit information,Read,,,,activate:GetCredits
activate,GetMemberInfo,Grants permission to get the Activate member information,Read,,,,activate:GetMemberInfo
activate,GetProgram,Grants permission to get an Activate program,Read,,,,activate:GetProgram
activate,PutMemberInfo,Grants permission to create or update the Activate member information,Write,,,,activate:PutMemberInfo
a4b,ApproveSkill,Grants permission to associate a skill with the organization under the customer's AWS account,Write,,,,a4b:ApproveSkill
a4b,AssociateContactWithAddressBook,Grants permission to associate a contact with a given address book,Write,addressbook*,,,a4b:AssociateContactWithAddressBook
a4b,AssociateDeviceWithNetworkProfile,Grants permission to associate a device with the specified network profile,Write,device*,,,a4b:AssociateDeviceWithNetworkProfile
a4b,AssociateDeviceWithRoom,Grants permission to associate device with given room,Write,device*,,,a4b:AssociateDeviceWithRoom
a4b,AssociateSkillGroupWithRoom,Grants permission to associate the skill group with given room,Write,room*,,,a4b:AssociateSkillGroupWithRoom
a4b,AssociateSkillWithSkillGroup,Grants permission to associate a skill with a skill group,Write,skillgroup*,,,a4b:AssociateSkillWithSkillGroup
a4b,AssociateSkillWithUsers,Grants permission to make a private skill available for enrolled users to enable on their devices,Write,,,,a4b:AssociateSkillWithUsers
a4b,CompleteRegistration,Grants permission to complete the operation of registering an Alexa device,Write,,,,a4b:CompleteRegistration
a4b,CreateAddressBook,Grants permission to create an address book with the specified details,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateAddressBook
a4b,CreateBusinessReportSchedule,Grants permission to create a recurring schedule for usage reports to deliver to the specified S3 location with a specified daily or weekly interval,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateBusinessReportSchedule
a4b,CreateConferenceProvider,Grants permission to add a new conference provider under the user's AWS account,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateConferenceProvider
a4b,CreateContact,Grants permission to create a contact with the specified details,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateContact
a4b,CreateGatewayGroup,Grants permission to create a gateway group with the specified details,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateGatewayGroup
a4b,CreateNetworkProfile,Grants permission to create a network profile with the specified details,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateNetworkProfile
a4b,CreateProfile,Grants permission to create a new profile,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateProfile
a4b,CreateRoom,Grants permission to create room with the specified details,Write,profile*,,,a4b:CreateRoom
a4b,CreateSkillGroup,Grants permission to create a skill group with given name and description,Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:CreateSkillGroup
a4b,CreateUser,Grants permission to create a user,Write,user*,,,a4b:CreateUser
a4b,DeleteAddressBook,Grants permission to delete an address book by the address book ARN,Write,addressbook*,,,a4b:DeleteAddressBook
a4b,DeleteBusinessReportSchedule,Grants permission to delete the recurring report delivery schedule with the specified schedule ARN,Write,schedule*,,,a4b:DeleteBusinessReportSchedule
a4b,DeleteConferenceProvider,Grants permission to delete a conference provider,Write,conferenceprovider*,,,a4b:DeleteConferenceProvider
a4b,DeleteContact,Grants permission to delete a contact by the contact ARN,Write,contact*,,,a4b:DeleteContact
a4b,DeleteDevice,Grants permission to remove a device from Alexa For Business,Write,device*,,,a4b:DeleteDevice
a4b,DeleteDeviceUsageData,Grants permission to delete the device's entire previous history of voice input data and associated response data,Write,device*,,,a4b:DeleteDeviceUsageData
a4b,DeleteGatewayGroup,Grants permission to delete a gateway group,Write,gatewaygroup*,,,a4b:DeleteGatewayGroup
a4b,DeleteNetworkProfile,Grants permission to delete a network profile by the network profile ARN,Write,networkprofile*,,,a4b:DeleteNetworkProfile
a4b,DeleteProfile,Grants permission to delete profile by profile ARN,Write,profile*,,,a4b:DeleteProfile
a4b,DeleteRoom,Grants permission to delete room,Write,room*,,,a4b:DeleteRoom
a4b,DeleteRoomSkillParameter,Grants permission to delete a parameter from a skill and room,Write,room*,,,a4b:DeleteRoomSkillParameter
a4b,DeleteSkillAuthorization,Grants permission to unlink a third-party account from a skill,Write,room*,,,a4b:DeleteSkillAuthorization
a4b,DeleteSkillGroup,Grants permission to delete skill group with skill group ARN,Write,skillgroup*,,,a4b:DeleteSkillGroup
a4b,DeleteUser,Grants permission to delete a user,Write,user*,,,a4b:DeleteUser
a4b,DisassociateContactFromAddressBook,Grants permission to disassociate a contact from a given address book,Write,addressbook*,,,a4b:DisassociateContactFromAddressBook
a4b,DisassociateDeviceFromRoom,Grants permission to disassociate device from its current room,Write,device*,,,a4b:DisassociateDeviceFromRoom
a4b,DisassociateSkillFromSkillGroup,Grants permission to disassociate a skill from a skill group,Write,skillgroup*,,,a4b:DisassociateSkillFromSkillGroup
a4b,DisassociateSkillFromUsers,Grants permission to make a private skill unavailable for enrolled users and prevent them from enabling it on their devices,Write,user*,,,a4b:DisassociateSkillFromUsers
a4b,DisassociateSkillGroupFromRoom,Grants permission to disassociate the skill group from given room,Write,room*,,,a4b:DisassociateSkillGroupFromRoom
a4b,ForgetSmartHomeAppliances,Grants permission to forget smart home appliances associated to a room,Write,room*,,,a4b:ForgetSmartHomeAppliances
a4b,GetAddressBook,Grants permission to get the address book details by the address book ARN,Read,addressbook*,,,a4b:GetAddressBook
a4b,GetConferencePreference,Grants permission to retrieve the existing conference preferences,Read,,,,a4b:GetConferencePreference
a4b,GetConferenceProvider,Grants permission to get details about a specific conference provider,Read,conferenceprovider*,,,a4b:GetConferenceProvider
a4b,GetContact,Grants permission to get the contact details by the contact ARN,Read,contact*,,,a4b:GetContact
a4b,GetDevice,Grants permission to get device details,Read,device*,,,a4b:GetDevice
a4b,GetGateway,Grants permission to retrieve the details of a gateway,Read,gateway*,,,a4b:GetGateway
a4b,GetGatewayGroup,Grants permission to retrieve the details of a gateway group,Read,gatewaygroup*,,,a4b:GetGatewayGroup
a4b,GetInvitationConfiguration,Grants permission to retrieve the configured values for the user enrollment invitation email template,Read,,,,a4b:GetInvitationConfiguration
a4b,GetNetworkProfile,Grants permission to get the network profile details by the network profile ARN,Read,networkprofile*,,,a4b:GetNetworkProfile
a4b,GetProfile,Grants permission to get profile when provided with Profile ARN,Read,profile*,,,a4b:GetProfile
a4b,GetRoom,Grants permission to get room details,Read,room*,,,a4b:GetRoom
a4b,GetRoomSkillParameter,Grants permission to get an existing parameter that has been set for a skill and room,Read,room*,,,a4b:GetRoomSkillParameter
a4b,GetSkillGroup,Grants permission to get skill group details with skill group ARN,Read,skillgroup*,,,a4b:GetSkillGroup
a4b,ListBusinessReportSchedules,Grants permission to list the details of the schedules that a user configured,List,,,,a4b:ListBusinessReportSchedules
a4b,ListConferenceProviders,Grants permission to list conference providers under a specific AWS account,List,,,,a4b:ListConferenceProviders
a4b,ListDeviceEvents,"Grants permission to list the device event history, including device connection status, for up to 30 days",List,device*,,,a4b:ListDeviceEvents
a4b,ListGatewayGroups,Grants permission to list gateway group summaries,List,,,,a4b:ListGatewayGroups
a4b,ListGateways,Grants permission to list gateway summaries,List,gatewaygroup*,,,a4b:ListGateways
a4b,ListSkills,Grants permission to list skills,List,,,,a4b:ListSkills
a4b,ListSkillsStoreCategories,Grants permission to list all categories in the Alexa skill store,List,,,,a4b:ListSkillsStoreCategories
a4b,ListSkillsStoreSkillsByCategory,Grants permission to list all skills in the Alexa skill store by category,List,,,,a4b:ListSkillsStoreSkillsByCategory
a4b,ListSmartHomeAppliances,Grants permission to list all of the smart home appliances associated with a room,List,room*,,,a4b:ListSmartHomeAppliances
a4b,ListTags,Grants permission to list all tags on a resource,Read,device,,,a4b:ListTags
a4b,PutConferencePreference,Grants permission to set the conference preferences on a specific conference provider at the account level,Write,,,,a4b:PutConferencePreference
a4b,PutDeviceSetupEvents,Grants permission to publish Alexa device setup events,Write,,,,a4b:PutDeviceSetupEvents
a4b,PutInvitationConfiguration,Grants permission to configure the email template for the user enrollment invitation with the specified attributes,Write,,,,a4b:PutInvitationConfiguration
a4b,PutRoomSkillParameter,Grants permission to put a room specific parameter for a skill,Write,room*,,,a4b:PutRoomSkillParameter
a4b,PutSkillAuthorization,Grants permission to link a user's account to a third-party skill provider,Write,room*,,,a4b:PutSkillAuthorization
a4b,RegisterAVSDevice,Grants permission to register an Alexa-enabled device built by an Original Equipment Manufacturer (OEM) using Alexa Voice Service (AVS),Write,,aws:RequestTag/${TagKey}aws:TagKeys,,a4b:RegisterAVSDevice
a4b,RegisterDevice,Grants permission to register an Alexa device,Write,,,,a4b:RegisterDevice
a4b,RejectSkill,Grants permission to disassociate a skill from the organization under a user's AWS account,Write,,,,a4b:RejectSkill
a4b,ResolveRoom,Grants permission to resolve room information,Read,,,,a4b:ResolveRoom
a4b,RevokeInvitation,Grants permission to revoke an invitation,Write,user*,,,a4b:RevokeInvitation
a4b,SearchAddressBooks,Grants permission to search address books and list the ones that meet a set of filter and sort criteria,List,,,,a4b:SearchAddressBooks
a4b,SearchContacts,Grants permission to search contacts and list the ones that meet a set of filter and sort criteria,List,,,,a4b:SearchContacts
a4b,SearchDevices,Grants permission to search for devices,List,,,,a4b:SearchDevices
a4b,SearchNetworkProfiles,Grants permission to search network profiles and list the ones that meet a set of filter and sort criteria,List,,,,a4b:SearchNetworkProfiles
a4b,SearchProfiles,Grants permission to search for profiles,List,,,,a4b:SearchProfiles
a4b,SearchRooms,Grants permission to search for rooms,List,,,,a4b:SearchRooms
a4b,SearchSkillGroups,Grants permission to search for skill groups,List,,,,a4b:SearchSkillGroups
a4b,SearchUsers,Grants permission to search for users,List,,,,a4b:SearchUsers
a4b,SendAnnouncement,"Grants permission to trigger an asynchronous flow to send text, SSML, or audio announcements to rooms that are identified by a search or filter",Write,,,,a4b:SendAnnouncement
a4b,SendInvitation,Grants permission to send an invitation to a user,Write,user*,,,a4b:SendInvitation
a4b,StartDeviceSync,"Grants permission to restore the device and its account to its known, default settings by clearing all information and settings set by its previous users",Write,,,,a4b:StartDeviceSync
a4b,StartSmartHomeApplianceDiscovery,Grants permission to initiate the discovery of any smart home appliances associated with the room,Read,room*,,,a4b:StartSmartHomeApplianceDiscovery
a4b,TagResource,Grants permission to add metadata tags to a resource,Tagging,device,,,a4b:TagResource
a4b,UntagResource,Grants permission to remove metadata tags from a resource,Tagging,device,,,a4b:UntagResource
a4b,UpdateAddressBook,Grants permission to update address book details by the address book ARN,Write,addressbook*,,,a4b:UpdateAddressBook
a4b,UpdateBusinessReportSchedule,Grants permission to update the configuration of the report delivery schedule with the specified schedule ARN,Write,schedule*,,,a4b:UpdateBusinessReportSchedule
a4b,UpdateConferenceProvider,Grants permission to update an existing conference provider's settings,Write,conferenceprovider*,,,a4b:UpdateConferenceProvider
a4b,UpdateContact,Grants permission to update the contact details by the contact ARN,Write,contact*,,,a4b:UpdateContact
a4b,UpdateDevice,Grants permission to update device name,Write,device*,,,a4b:UpdateDevice
a4b,UpdateGateway,Grants permission to update the details of a gateway,Write,gateway*,,,a4b:UpdateGateway
a4b,UpdateGatewayGroup,Grants permission to update the details of a gateway group,Write,gatewaygroup*,,,a4b:UpdateGatewayGroup
a4b,UpdateNetworkProfile,Grants permission to update a network profile by the network profile ARN,Write,networkprofile*,,,a4b:UpdateNetworkProfile
a4b,UpdateProfile,Grants permission to update an existing profile,Write,profile*,,,a4b:UpdateProfile
a4b,UpdateRoom,Grants permission to update room details,Write,room*,,,a4b:UpdateRoom
a4b,UpdateSkillGroup,Grants permission to update skill group details with skill group ARN,Write,skillgroup*,,,a4b:UpdateSkillGroup
mediaimport,CreateDatabaseBinarySnapshot,Grants permission to create a database binary snapshot on the customer's aws account,Write,,,,mediaimport:CreateDatabaseBinarySnapshot
amplify,CreateApp,Grants permission to create a new Amplify App,Write,apps*,,,amplify:CreateApp
amplify,CreateBackendEnvironment,Grants permission to create a new backend environment for an Amplify App,Write,apps*,,,amplify:CreateBackendEnvironment
amplify,CreateBranch,Grants permission to create a new Branch for an Amplify App,Write,apps*,,,amplify:CreateBranch
amplify,CreateDeployment,Grants permission to create a deployment for manual deploy apps. (Apps are not connected to repository),Write,branches*,,,amplify:CreateDeployment
amplify,CreateDomainAssociation,Grants permission to create a new DomainAssociation on an App,Write,apps*,,,amplify:CreateDomainAssociation
amplify,CreateWebHook,Grants permission to create a new webhook on an App,Write,branches*,,,amplify:CreateWebHook
amplify,DeleteApp,Grants permission to delete an existing Amplify App by appId,Write,apps*,,,amplify:DeleteApp
amplify,DeleteBackendEnvironment,Grants permission to delete a branch for an Amplify App,Write,apps*,,,amplify:DeleteBackendEnvironment
amplify,DeleteBranch,Grants permission to delete a branch for an Amplify App,Write,branches*,,,amplify:DeleteBranch
amplify,DeleteDomainAssociation,Grants permission to delete a DomainAssociation,Write,domains*,,,amplify:DeleteDomainAssociation
amplify,DeleteJob,"Grants permission to delete a job, for an Amplify branch, part of Amplify App",Write,jobs*,,,amplify:DeleteJob
amplify,DeleteWebHook,Grants permission to delete a webhook by id,Write,apps*,,,amplify:DeleteWebHook
amplify,GenerateAccessLogs,Grants permission to generate website access logs for a specific time range via a pre-signed URL,Write,apps*,,,amplify:GenerateAccessLogs
amplify,GetApp,Grants permission to retrieve an existing Amplify App by appId,Read,apps*,,,amplify:GetApp
amplify,GetArtifactUrl,Grants permission to retrieve artifact info that corresponds to a artifactId,Read,apps*,,,amplify:GetArtifactUrl
amplify,GetBackendEnvironment,Grants permission to retrieve a backend environment for an Amplify App,Read,apps*,,,amplify:GetBackendEnvironment
amplify,GetBranch,Grants permission to retrieve a branch for an Amplify App,Read,branches*,,,amplify:GetBranch
amplify,GetDomainAssociation,Grants permission to retrieve domain info that corresponds to an appId and domainName,Read,domains*,,,amplify:GetDomainAssociation
amplify,GetJob,"Grants permission to get a job for a branch, part of an Amplify App",Read,jobs*,,,amplify:GetJob
amplify,GetWebHook,Grants permission to retrieve webhook info that corresponds to a webhookId,Read,apps*,,,amplify:GetWebHook
amplify,ListApps,Grants permission to list existing Amplify Apps,List,,,,amplify:ListApps
amplify,ListArtifacts,"Grants permission to list artifacts with an app, a branch, a job and an artifact type",List,apps*,,,amplify:ListArtifacts
amplify,ListBackendEnvironments,Grants permission to list backend environments for an Amplify App,List,apps*,,,amplify:ListBackendEnvironments
amplify,ListBranches,Grants permission to list branches for an Amplify App,List,apps*,,,amplify:ListBranches
amplify,ListDomainAssociations,Grants permission to list domains with an app,List,apps*,,,amplify:ListDomainAssociations
amplify,ListJobs,"Grants permission to list Jobs for a branch, part of an Amplify App",List,branches*,,,amplify:ListJobs
amplify,ListTagsForResource,Grants permission to list tags for an AWS Amplify Console resource,Read,apps,,,amplify:ListTagsForResource
amplify,ListWebHooks,Grants permission to list webhooks on an App,List,apps*,,,amplify:ListWebHooks
amplify,StartDeployment,Grants permission to start a deployment for manual deploy apps. (Apps are not connected to repository),Write,branches*,,,amplify:StartDeployment
amplify,StartJob,"Grants permission to start a new job for a branch, part of an Amplify App",Write,jobs*,,,amplify:StartJob
amplify,StopJob,"Grants permission to stop a job that is in progress, for an Amplify branch, part of Amplify App",Write,jobs*,,,amplify:StopJob
amplify,TagResource,Grants permission to tag an AWS Amplify Console resource,Tagging,apps,,,amplify:TagResource
amplify,UntagResource,Grants permission to remove a tag from an AWS Amplify Console resource,Tagging,apps,,,amplify:UntagResource
amplify,UpdateApp,Grants permission to update an existing Amplify App,Write,apps*,,,amplify:UpdateApp
amplify,UpdateBranch,Grants permission to update a branch for an Amplify App,Write,branches*,,,amplify:UpdateBranch
amplify,UpdateDomainAssociation,Grants permission to update a DomainAssociation on an App,Write,domains*,,,amplify:UpdateDomainAssociation
amplify,UpdateWebHook,Grants permission to update a webhook,Write,apps*,,,amplify:UpdateWebHook
amplifybackend,CloneBackend,Grants permission to clone an existing Amplify Admin backend environment into a new Amplify Admin backend enviroment,Write,backend*,,,amplifybackend:CloneBackend
amplifybackend,CreateBackend,Grants permission to create a new Amplify Admin backend environment by Amplify appId,Write,backend*,,,amplifybackend:CreateBackend
amplifybackend,CreateBackendAPI,Grants permission to create an API for an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,api*,,,amplifybackend:CreateBackendAPI
amplifybackend,CreateBackendAuth,Grants permission to create an auth resource for an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,auth*,,,amplifybackend:CreateBackendAuth
amplifybackend,CreateBackendConfig,Grants permission to create a new Amplify Admin backend config by Amplify appId,Write,backend*,,,amplifybackend:CreateBackendConfig
amplifybackend,CreateBackendStorage,Grants permission to create a backend storage resource,Write,backend*,,,amplifybackend:CreateBackendStorage
amplifybackend,CreateToken,Grants permission to create an Amplify Admin challenge token by appId,Write,backend*,,,amplifybackend:CreateToken
amplifybackend,DeleteBackend,Grants permission to delete an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,backend*,,,amplifybackend:DeleteBackend
amplifybackend,DeleteBackendAPI,Grants permission to delete an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,api*,,,amplifybackend:DeleteBackendAPI
amplifybackend,DeleteBackendAuth,Grants permission to delete an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,auth*,,,amplifybackend:DeleteBackendAuth
amplifybackend,DeleteBackendStorage,Grants permission to delete a backend storage resource,Write,backend*,,,amplifybackend:DeleteBackendStorage
amplifybackend,DeleteToken,Grants permission to delete an Amplify Admin challenge token by appId,Write,backend*,,,amplifybackend:DeleteToken
amplifybackend,GenerateBackendAPIModels,Grants permission to generate models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Write,api*,,,amplifybackend:GenerateBackendAPIModels
amplifybackend,GetBackend,Grants permission to retrieve an existing Amplify Admin backend environment by appId and backendEnvironmentName,Read,backend*,,,amplifybackend:GetBackend
amplifybackend,GetBackendAPI,Grants permission to retrieve an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Read,api*,,,amplifybackend:GetBackendAPI
amplifybackend,GetBackendAPIModels,Grants permission to retrieve models for an API of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Read,api*,,,amplifybackend:GetBackendAPIModels
amplifybackend,GetBackendAuth,Grants permission to retrieve an auth resource of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Read,auth*,,,amplifybackend:GetBackendAuth
amplifybackend,GetBackendJob,Grants permission to retrieve a job of an existing Amplify Admin backend environment by appId and backendEnvironmentName,Read,backend*,,,amplifybackend:GetBackendJob
amplifybackend,GetBackendStorage,Grants permission to retrieve an existing backend storage resource,Read,backend*,,,amplifybackend:GetBackendStorage
amplifybackend,GetToken,Grants permission to retrieve an Amplify Admin challenge token by appId,Read,backend*,,,amplifybackend:GetToken
amplifybackend,ImportBackendAuth,Grants permission to import an existing auth resource of an Amplify Admin backend environment by appId and backendEnvironmentName,Write,auth*,,,amplifybackend:ImportBackendAuth
amplifybackend,ImportBackendStorage,Grants permission to import an existing backend storage resource,Write,backend*,,,amplifybackend:ImportBackendStorage
amplifybackend,ListBackendJobs,Grants permission to retrieve the jobs of an existing Amplify Admin backend environment by appId and backendEnvironmentName,List,backend*,,,amplifybackend:ListBackendJobs
amplifybackend,ListS3Buckets,Grants permission to retrieve s3 buckets,List,,,,amplifybackend:ListS3Buckets
